AQW00061705         252C
USW00053968         805Q
USW00053974         393Q
USW00053988         765Q
USW00054704         108R
USW00054728          17R
USW00054733          63R
USW00054734          51R
USW00054737         105R
USW00054740          50R
USW00054742          40S
USW00054743         139R
USW00054756          53R
USW00054757           5R
USW00054767          76R
USW00054768          26R
USW00054769          57R
USW00054770          29R
USW00054771          27R
USW00054772          80R
USW00054773          28R
USW00054777          82R
USW00054778          54R
USW00054779          80Q
USW00054780          22R
USW00054781          15R
USW00054782         127R
USW00054785         163Q
USW00054786         121R
USW00054787          65R
USW00054788          97R
USW00054789           8R
USW00054790          45R
USW00054791          70R
USW00054792          31R
USW00054793          78R
USW00054794          43Q
USW00054795          54Q
USW00054796          15Q
USW00054797          17Q
USW00054808         107Q
USW00054810           0Q
USW00054811          45Q
USW00054813          22Q
USW00054851           8Q
USW00054854           0Q
USW00054902          81Q
USW00054903          30Q
USW00054932           3Q
USW00054933          81Q
USW00054937          35Q
USW00063826         541Q
USW00063828         628Q
USW00063829         642Q
USW00063831         542Q
USW00063838         161Q
USW00063849         206Q
USW00063850         371Q
USW00063855          30Q
USW00063856         410Q
USW00063857         208Q
USW00063858         574Q
USW00063862         194Q
USW00063866         346Q
USW00063867         296Q
USW00063868         369Q
USW00063869         380Q
USW00063870         734Q
USW00063872         852Q
USW00063890         803Q
USW00063891         470Q
USW00063892         577Q
USW00063893         568Q
USW00063894         416Q
USW00063895         325Q
USW00063896         319Q
USW00063897         600Q
USW00063898          88Q
USW00063899         530Q
USW00064756          57Q
USW00064758           7Q
USW00064775          16Q
USW00064776          29Q
USW00073802         520Q
USW00073803         435Q
USW00092762         128Q
USW00092805         305R
USW00092806         757S
USW00092809         909R
USW00092811         188S
USW00092821         335Q
USW00092826        1055Q
USW00092827         964Q
USW00093005         110R
USW00093009           0S
USW00093010         238S
USW00093013         331R
USW00093026        1038C
USW00093027         503R
USW00093033        1045S
USW00093037         145S
USW00093042         580S
USW00093044         413S
USW00093045         677R
USW00093057         507S
USW00093058         604C
USW00093067         179R
USW00093069         313R
USW00093073           4R
USW00093075         733R
USW00093084        1338R
USW00093101         128R
USW00093102         756S
USW00093104        1293R
USW00093107         102S
USW00093110           6R
USW00093111          12S
USW00093112          37S
USW00093114         255R
USW00093115           4Q
USW00093116          24Q
USW00093129         327R
USW00093134         214S
USW00093138        1658R
USW00093139         501S
USW00093140        1712R
USW00093141         293R
USW00093167        1046R
USW00093184          57R
USW00093193        1062C
USW00093197          13R
USW00093205         837R
USW00093206          84R
USW00093209         794C
USW00093210         802R
USW00093225         735R
USW00093227         141R
USW00093228          58R
USW00093230          22S
USW00093241         739R
USW00093242         992R
USW00093243         852Q
USW00093245           0Q
USW00093706         142R
USW00093718         156R
USW00093719         408S
USW00093720         188S
USW00093721         246C
USW00093727         405S
USW00093729          23C
USW00093730         172C
USW00093736         219R
USW00093738         303S
USW00093739         117S
USW00093740         571R
USW00093741         400Q
USW00093743          73Q
USW00093759         437R
USW00093765          31R
USW00093773         436R
USW00093775         444R
USW00093778         119R
USW00093780         195R
USW00093781         396R
USW00093782         486R
USW00093783         376R
USW00093784         373R
USW00093785         476R
USW00093786         103R
USW00093801         488R
USW00093805         867C
USW00093806         717R
USW00093807         313R
USW00093808         420S
USW00093809         398R
USW00093810         310R
USW00093812         222S
USW00093814         171C
USW00093815          98S
USW00093816         277R
USW00093817         380S
USW00093819         146S
USW00093820         194C
USW00093821         372C
USW00093822         226C
USW00093823         137Q
USW00093824         101C
USW00093825         414R
USW00093831         651S
USW00093832         863R
USW00093837         703S
USW00093839         703R
USW00093841         725R
USW00093842         732C
USW00093845         782Q
USW00093846         408S
USW00093862         654S
USW00093874         523R
USW00093901         948R
USW00093909         353R
USW00093914         715S
USW00093915         825R
USW00093919         656S
USW00093950         646S
USW00093953         574R
USW00093967         530R
USW00093985         923R
USW00093986         820S
USW00093987         902S
USW00093988         693R
USW00093989         192S
USW00093990         590R
USW00093992         708C
USW00093993         338S
USW00093997         551S
USW00094008         243C
USW00094010         197R
USW00094012         238S
USW00094014         218C
USW00094017         267R
USW00094023         276R
USW00094030         205S
USW00094032          35R
USW00094037         223R
USW00094038         178R
USW00094039         390R
USW00094040         447S
USW00094041          98R
USW00094050         134R
USW00094051         261R
USW00094052         223R
USW00094053         434R
USW00094054         197R
USW00094055         244R
USW00094056         257R
USW00094057         334R
USW00094059         118Q
USW00094060         220Q
USW00094074         232Q
USW00094075           0Q
USW00094077         253Q
USW00094078         153Q
USW00094079         220Q
USW00094080         155Q
USW00094081         249Q
USW00094082         399Q
USW00094084          58Q
USW00094085         249Q
USW00094088           0Q
USW00094107         476R
USW00094119         144R
USW00094128         306R
USW00094129         128R
USW00094143         261S
USW00094173           0Q
USW00094176         208R
USW00094178         361R
USW00094182          14R
USW00094185         219S
USW00094194         101R
USW00094197         337R
USW00094224           0S
USW00094225           2S
USW00094227          50R
USW00094236         120R
USW00094239         281S
USW00094240           8S
USW00094248          21R
USW00094261         118R
USW00094266           4R
USW00094273         134R
USW00094274          17R
USW00094276           4R
USW00094281         134R
USW00094290          12R
USW00094298         107R
USW00094299         255R
USW00094623          23R
USW00094624          10R
USW00094626           5R
USW00094644           7Q
USW00094645           4Q
